"x"
"CREG1"
"ERLIN1"
"CD79A"
"POU2AF1"
"LEF1"
"PAX5"
"CFD"
"FAM46A"
"ATP8B4"
"PLAGL1"
"CD22"
"TCL1A"
"SERPINB1"
"QSOX1"
"CD19"
"IGF2BP2"
"BACH2"
"SPART"
"SNTB2"
"MFSD1"
"MAPKAPK3"
"RNASE2"
"TMED9"
"LY75-CD302"
"CTSA"
"FUT4"
"CD79B"
"KIT"
"VPREB3"
"CEBPA"
"LTBR"
"TFEC"
"ANXA1"
"IMPA2"
"LAMP2"
"HSD17B11"
"AZU1"
"ISG20"
"LRIG1"
"FAH"
"BLK"
"ZHX2"
"CD72"
"ARL8B"
"ID3"
"PYGL"
"MBOAT7"
"ZYX"
"PLEK"
"CTSC"
"IGFBP7"
"DDOST"
"KCTD7"
"ARL4A"
"ITPR3"
"LEPROT"
"FCMR"
"NEIL1"
"COQ8A"
"HEBP1"
"PIK3CB"
"RPN2"
"KLF12"
"CD33"
"CITED2"
"LTB"
"GAL3ST4"
"HIVEP2"
"KIAA0368"
"PTDSS1"
"FNDC3B"
"RAB32"
"BTN2A2"
"KCNAB2"
"SYNE2"
"BCAS4"
"C1orf216"
"TMEM131L"
"DIAPH2"
"MZB1"
"IL18"
"PDGFC"
"HADHB"
"HEXA"
"ALDOA"
"TMEM243"
"HIP1R"
"MME"
"CTC1"
"BZW2"
"ACTA2"
"PCDH9"
"MPO"
"RUBCNL"
"TALDO1"
"HOMER3"
"AHCY"
"TMED3"
"LRPAP1"
"AUTS2"
